1	0.0099133945	0.033428888	-0.0057636009	-0.029279094	-0.052794587	0.0099133945.1	-0.021440596	-0.029279094.1	-0.060633085	-0.091987075	-0.013602099	-0.060633085.1	-0.013602099.1	-0.076310081	-0.060633085.2	-0.12334106	-0.084148578	-0.068471582	-0.037117591	-0.076310081.1	-0.060633085.3	-0.12334106.1	-0.060633085.4	-0.091987075.1	-0.068471582.1	-0.10766407	-0.099825575	-0.14685656	-0.029279094.2	0.0099133945.2	0.09613687	0.12749086	0.16668335	0.29209932	0.41751527	0.11965236	-0.084148578.1	-0.076310081.2	-0.21740303	-0.19388755	-0.27227252	-0.24091853	-0.31146501	-0.30362652	-0.24091853.1	-0.20956454	-0.15469506	-0.21740303.1	-0.091987075.2	0.6605087	2.8317725	5.0265519	0.91917913	-4.9361786	-6.1197918	-4.3326143	-2.4200209	-1.0717993	-0.44471947	-0.3349805	-0.14685656.1	-0.12334106.2	-0.052794587.1	0.0020748969	-0.0057636009.1	-0.04495609	0.02559039	0.12749086.1	0.064782879	0.11965236.1	0.15884485	0.25290682	0.3391303	0.35480729	0.42535377	0.6761857	0.76240917	0.87998664	1.1308186	1.0916261	1.264073	1.154334	1.1464955	0.98972556	0.76240917.1	0.55076973	0.36264579	0.22939133	0.11965236.2	0.080459874	0.02559039.1	0.033428888.1	0.049105883	0.0099133945.3	0.064782879.1	0.09613687.1	0.09613687.2	0.11965236.3	0.14316785	0.19019885	0.11965236.4	0.072621376	0.19803734	0.09613687.3	0.10397536	0.041267385	-0.013602099.2	0.0099133945.4	0.080459874.1	-0.013602099.3	-0.021440596.1	0.0099133945.5	-0.076310081.3	-0.14685656.2	-0.060633085.5	0.033428888.2	-0.060633085.6	-0.0057636009.2	-0.060633085.7	0.0020748969.1	-0.068471582.2	0.0099133945.6	-0.029279094.3	-0.029279094.4	-0.052794587.2	-0.037117591.1	-0.091987075.3	0.0020748969.2	-0.04495609.1	-0.060633085.8	-0.068471582.3	0.0020748969.3	-0.029279094.5	-0.11550256	0.0020748969.4	0.02559039.2
2	-0.53259342	-0.48285139	-0.49943206	-0.48285139	-0.45798036	-0.47456104	-0.43310934	-0.45798036	-0.424819	-0.44139967	-0.44139967	-0.424819	-0.424819	-0.424819	-0.424819	-0.44969002	-0.40823832	-0.43310934	-0.40823832	-0.49114172	-0.48285139	-0.39165764	-0.40823832	-0.424819	-0.40823832	-0.39994797	-0.37507695	-0.424819	-0.35020593	-0.40823832	-0.37507695	-0.39165764	-0.40823832	-0.22585083	-0.10978606	-0.084915037	-0.20927014	-0.424819	-0.59062581	-0.64865819	-0.68181956	-0.59062581	-0.39994797	-0.41652865	-0.35849627	-0.35849627	-0.35020593	-0.30875423	-0.29217355	-0.28388321	-0.2424315	-0.28388321	-0.14294741	0.77728039	-1.0051428	-3.9979558	-6.1285734	-4.4456342	-3.2601154	-2.0994678	-1.1212076	-0.49114172	-0.14294741	-0.084915037	-0.0020116264	0.022859395	0.097472461	0.13063382	0.11405314	0.18866621	0.13063382	0.18037587	0.28815029	0.34618268	0.42079575	0.52027983	0.60318324	0.79386108	0.96795822	1.1669264	1.3493139	1.4405076	1.6394758	1.6228951	1.3493139	1.0591519	0.78557073	0.53686052	0.37934404	0.35447301	0.33789234	0.329602	0.26327927	0.26327927	0.29644064	0.33789234	0.37934404	0.36276336	0.4539571	0.43737643	0.43737643	0.4539571	0.46224745	0.57831222	0.57002187	0.53686052	0.54515085	0.57831222	0.56173154	0.58660256	0.6363446	0.66121562	0.68608664	0.61976392	0.61147357	0.66950596	0.60318324	0.66121562	0.57831222	0.62805426	0.66950596	0.69437699	0.71095766	0.69437699	0.64463494	0.69437699	0.76899005	0.72753834	0.84360311	0.95137754	0.99282924	0.83531278	0.75240936	0.60318324	0.57831222	0.49540881
1	0.13000417	0.12570443	0.10850543	0.12570443	0.065507942	0.065507942	0.056908445	0.056908445	0.056908445	0.031109951	0.065507942	0.013910954	-0.084983273	0.056908445	0.031109951	0.0354097	-0.024786786	-0.016187288	0.022510452	-0.0075877906	-0.0032880416	-0.0032880416	-0.033386285	-0.037686034	-0.0075877906	-0.041985782	-0.063484528	-0.076383774	-0.072084025	-0.020487037	-0.029086536	0.069807691	0.052608695	0.095606185	0.15580267	-0.020487037	-0.10648201	-0.17097826	-0.22257524	-0.192477	-0.23117474	-0.26127298	-0.25697323	-0.28277173	-0.26127298	-0.23547449	-0.23547449	-0.27847198	-0.23547449	0.056908445	1.4887248	1.4371279	-1.3534092	-4.4664275	-5.3306771	-3.7397699	-1.9424748	-0.85033859	-0.39886495	-0.23547449	-0.14517976	-0.076383774	-0.05058528	0.013910954	0.039709448	0.061208194	0.087006688	0.13430393	0.14290342	0.2460974	0.30199414	0.37938962	0.46968435	0.57717807	0.77496653	0.97705473	1.2436391	1.5403218	1.880002	2.2325814	2.5249643	2.7915488	2.94204	2.8216471	2.4432691	1.880002	1.2436391	0.7104703	0.35789087	0.11710493	-0.0032880416	-0.063484528	-0.10218227	-0.12368101	-0.089283022	-0.11508152	-0.10648201	-0.029086536	-0.067784276	-0.072084025	-0.059184779	-0.046285531	-0.072084025	-0.089283022	-0.12368101	-0.13658026	-0.17957775	-0.20967599	-0.21827549	-0.25267348	-0.25697323	-0.26127298	-0.26987248	-0.27847198	-0.29567098	-0.29137122	-0.31286997	-0.32146946	-0.32576922	-0.35586746	-0.33866847	-0.35586746	-0.34726796	-0.33866847	-0.34726796	-0.39886495	-0.3945652	-0.38166595	-0.36446695	-0.38166595	-0.39026545	-0.41606395	-0.40746445	-0.42036369	-0.40746445	-0.41606395
2	0.22886796	0.23915076	0.26485777	0.28542338	0.24429217	0.28028197	0.26999917	0.25971637	0.21858516	0.20316095	0.16717115	0.18259535	0.15174695	0.13118134	0.12603994	0.11575714	0.079767328	0.12603994	0.069484526	0.074625928	0.064343125	0.064343125	0.059201724	0.084908729	0.03863612	0.064343125	0.04377752	0.033494718	0.028353317	0.012929113	-0.017919294	-0.0024950901	0.059201724	0.12603994	0.15174695	0.20830236	0.25971637	0.25971637	0.069484526	-0.079616107	-0.12074732	-0.15673713	-0.22871674	-0.21329254	-0.21843394	-0.23385814	-0.24928235	-0.22871674	-0.21843394	-0.21843394	-0.20300973	-0.14645432	0.88182591	3.1337596	2.4396704	-1.5809053	-6.2287319	-6.1413281	-4.0796262	-2.3161257	-1.0410582	-0.54748361	-0.38295878	-0.26470655	-0.21329254	-0.20300973	-0.16701992	-0.12588871	-0.089898909	-0.043626299	-0.0076364913	0.09005013	0.16202974	0.27514057	0.4139584	0.61447304	0.79442209	0.99493676	1.1903099	1.3291278	1.395966	1.4319558	1.3137036	1.1543202	0.85611891	0.57848324	0.31627178	0.19801955	0.064343125	0.0077877123	-0.0487677	-0.043626299	-0.069333305	-0.059050503	-0.059050503	-0.043626299	0.023211916	0.012929113	0.03863612	0.069484526	0.059201724	0.064343125	0.054060322	0.074625928	0.054060322	0.03863612	0.033494718	0.018070514	-0.0024950901	-0.0024950901	-0.012777892	-0.023060695	-0.012777892	0.0077877123	-0.064191904	-0.053909101	-0.012777892	-0.017919294	-0.033343497	-0.033343497	-0.0487677	-0.033343497	-0.0487677	-0.033343497	-0.033343497	-0.017919294	-0.038484899	-0.0076364913	0.11575714	0.16202974	0.20316095	0.27514057	0.34197879	0.20316095	0.064343125	-0.074474707
2	0.24689064	0.24689064	0.27224717	0.25196194	0.20632018	0.19617756	0.24181933	0.19617756	0.18603495	0.12010795	0.10996534	0.10996534	0.14039318	0.089680105	0.049109646	0.094751413	0.12517926	0.049109646	0.094751413	0.084608798	0.018681801	0.013610494	0.054180953	0.0034678795	0.044038339	0.038967031	0.044038339	0.069394876	0.12517926	0.18603495	0.24181933	0.25196194	0.31281763	0.27731848	0.13025057	-0.0066747353	-0.062459116	-0.16388526	-0.12838611	-0.15881396	-0.19938442	-0.19938442	-0.16388526	-0.15881396	-0.17402788	-0.14360004	-0.16388526	0.11503665	1.6161436	3.8069485	1.9609925	-3.01396	-6.3914507	-5.4076171	-3.4145933	-1.791775	-0.76737084	-0.42252195	-0.25009749	-0.16388526	-0.082744347	-0.082744347	-0.042173887	0.0085391868	0.038967031	0.033895724	0.10996534	0.14039318	0.28746109	0.37367332	0.52581254	0.73373615	0.94165975	1.1647973	1.3524356	1.474147	1.5654305	1.5705019	1.4386479	1.1445121	0.85037621	0.59173954	0.33310286	0.21646279	0.10996534	0.049109646	-0.01681735	-0.026959965	-0.067530424	-0.011746043	-0.021888657	-0.026959965	0.018681801	0.0085391868	0.028824417	0.033895724	0.02375311	0.059252261	0.038967031	0.02375311	0.0034678795	-0.03710258	-0.011746043	-0.03710258	-0.067530424	-0.057387809	-0.047245195	-0.11317219	-0.10810088	-0.10810088	-0.13852873	-0.10810088	-0.12838611	-0.12838611	-0.13345742	-0.12838611	-0.10810088	-0.15881396	-0.13345742	-0.17909919	-0.17909919	-0.082744347	0.0085391868	0.059252261	0.084608798	0.12010795	0.20632018	-0.042173887	-0.17402788	-0.17402788	-0.30588187	-0.27038272	-0.3312384	-0.3312384	-0.32109579	-0.3261671
1	0.33530799	0.29815777	0.29815777	0.28887022	0.30744533	0.22385735	0.24243246	0.26100756	0.15884448	0.26100756	0.25172001	0.21456979	0.2331449	0.15884448	0.21456979	0.20528224	0.20528224	0.22385735	0.17741958	0.20528224	0.21456979	0.15884448	0.20528224	0.14026937	0.15884448	0.12169426	0.08454405	0.10311915	0.13098182	0.08454405	0.047393837	0.065968944	0.19599469	0.31673288	0.32602043	0.27958266	-0.10120702	-0.26838297	-0.26838297	-0.23123275	-0.15693233	-0.036194141	-0.073344354	-0.10120702	-0.10120702	-0.017619035	-0.017619035	-0.045481695	-0.026906588	0.00095607146	-0.0083314817	0.30744533	1.2733508	-1.9215674	-5.3765372	-6.0545286	-4.1412926	-2.553121	-1.4664773	-0.69561042	-0.15693233	0.028818731	0.14026937	0.14026937	0.17741958	0.16813202	0.22385735	0.21456979	0.21456979	0.25172001	0.32602043	0.26100756	0.40960841	0.38174575	0.54892171	0.52105905	0.66037234	0.74396033	0.93899894	1.1619002	1.3290762	1.644853	1.8677542	2.081368	2.2485439	2.1556684	1.9049044	1.4219517	0.89256117	0.49319639	0.20528224	0.05668139	-0.017619035	-0.10120702	-0.064056801	-0.10120702	-0.2033701	-0.10120702	-0.026906588	-0.09191946	-0.10120702	-0.054769248	-0.073344354	-0.064056801	-0.064056801	-0.11978212	-0.082631907	-0.19408255	-0.017619035	-0.15693233	-0.19408255	-0.15693233	-0.23123275	-0.16621988	-0.21265765	-0.22194521	-0.23123275	-0.28695808	-0.17550744	-0.23123275	-0.31482074	-0.28695808	-0.26838297	-0.28695808	-0.34268339	-0.25909541	-0.30553319	-0.37983361	-0.33339584	-0.35197095	-0.32410829	-0.31482074	-0.35197095	-0.32410829	-0.37983361	-0.40769627
2	0.2107134	0.23165768	0.23689375	0.25260197	0.2473659	0.26307412	0.22642161	0.21594947	0.20024126	0.17929697	0.15311661	0.16882482	0.12693624	0.13740839	0.1164641	0.12693624	0.095519813	0.095519813	0.1164641	0.090283741	0.095519813	0.074575525	0.069339453	0.069339453	0.090283741	0.074575525	0.058867309	0.074575525	0.064103381	0.13740839	0.22118555	0.26307412	0.3049627	0.34685128	0.39921199	0.19500518	0.053631238	0.048395165	-0.056326275	-0.0039655554	-0.108687	-0.087742708	-0.087742708	-0.06679842	-0.087742708	-0.040618059	-0.030145915	-0.030145915	-0.0092016274	0.68195988	2.6926116	3.4989667	-0.077270564	-4.9520536	-6.4757506	-4.4598628	-2.6848344	-1.1611375	-0.49615632	-0.28671345	-0.181992	-0.108687	-0.087742708	-0.051090204	0.016978733	0.069339453	0.095519813	0.16882482	0.20024126	0.29449055	0.37303163	0.51440557	0.66625166	0.85475026	1.0641932	1.2631639	1.420246	1.5040232	1.5197314	1.4778429	1.2841082	1.0013602	0.6976681	0.45680879	0.26831019	0.15311661	0.048395165	0.0065065887	-0.0092016274	-0.030145915	-0.051090204	-0.051090204	-0.061562348	-0.014437699	-0.040618059	0.0065065887	0.032686949	0.048395165	0.022214805	0.011742661	-0.040618059	-0.014437699	-0.056326275	-0.0039655554	-0.11392307	-0.15057558	-0.108687	-0.087742708	-0.12439521	-0.12439521	-0.19246414	-0.16104772	-0.17151986	-0.21864451	-0.21864451	-0.20293629	-0.20293629	-0.22388058	-0.28671345	-0.24482487	-0.25006094	-0.30242167	-0.29718559	-0.30242167	-0.2395888	-0.10345092	-0.10345092	-0.077270564	-0.040618059	0.032686949	-0.19246414	-0.2395888	-0.31812987	-0.42808739	-0.40190703	-0.44379561
1	0.23384841	0.23384841	0.18935571	0.27834111	0.21605133	0.23384841	0.19825425	0.22494987	0.20715279	0.17155862	0.19825425	0.22494987	0.18045717	0.15376155	0.144863	0.12706593	0.17155862	0.144863	0.16266009	0.16266009	0.17155862	0.144863	0.10926884	0.13596446	0.15376155	0.11816738	0.16266009	0.073674682	0.12706593	0.073674682	0.073674682	0.046979061	0.03808052	0.2961382	0.33173236	0.34952944	0.13596446	-0.086499046	-0.2733684	-0.24667277	-0.068701965	-0.068701965	-0.024209263	-0.059803425	-0.068701965	-0.0064121823	-0.024209263	-0.059803425	0.011384899	0.03808052	0.020283439	0.020283439	0.37622506	1.2126879	-2.4090181	-5.3811307	-5.8527533	-4.251016	-2.2043517	-1.2967006	-0.57591877	-0.068701965	0.064776142	0.15376155	0.11816738	0.26054403	0.22494987	0.27834111	0.23384841	0.33173236	0.32283382	0.26944257	0.39402213	0.4296163	0.42071776	0.46521046	0.58979003	0.73216668	0.85674624	1.0258185	1.2215864	1.461847	1.7377017	1.9423682	2.1915273	2.1915273	2.2449185	1.8444842	1.346166	0.803355	0.39402213	0.12706593	0.011384899	-0.10429613	-0.11319467	-0.068701965	-0.11319467	-0.13099175	-0.024209263	-0.059803425	-0.14878883	-0.086499046	-0.068701965	-0.024209263	-0.033107804	-0.050904885	-0.1220932	-0.15768737	-0.1220932	-0.13989029	-0.17548446	-0.18438299	-0.21997715	-0.21997715	-0.30006402	-0.2288757	-0.23777423	-0.3178611	-0.2733684	-0.32675964	-0.30006402	-0.3623538	-0.28226694	-0.30006402	-0.3178611	-0.37125234	-0.38904942	-0.38904942	-0.30896256	-0.32675964	-0.34455672	-0.37125234	-0.42464359	-0.37125234	-0.34455672	-0.48693337
2	0.76138641	0.66669181	0.71403911	0.63828342	0.68563073	0.67616127	0.67616127	0.60040558	0.60987504	0.55305828	0.58146665	0.5246499	0.55305828	0.50571097	0.5719972	0.49624151	0.50571097	0.45836367	0.50571097	0.50571097	0.48677205	0.42995528	0.45836367	0.40154691	0.45836367	0.39207745	0.42048583	0.36366907	0.42995528	0.33526068	0.55305828	0.59093612	0.68563073	0.43942475	0.26897445	0.070115784	-0.01510936	0.022768482	0.032237943	0.10799363	0.25003554	0.21215769	0.22162715	0.20268824	0.259505	0.18374931	0.24056608	0.16481039	0.19321877	0.33526068	1.3674319	-0.99046376	-4.2384888	-6.5111593	-4.6930229	-3.3957068	-2.0415739	-0.99046376	-0.39388778	-0.10033451	0.13640201	0.11746309	0.21215769	0.18374931	0.19321877	0.19321877	0.24056608	0.16481039	0.26897445	0.3068523	0.44889421	0.45836367	0.58146665	0.66669181	0.89395886	0.99812293	1.2064511	1.3863708	1.57576	1.5946989	1.5000044	1.1591037	0.89395886	0.43942475	0.20268824	0.00382956	-0.10980396	-0.13821235	-0.18555965	-0.27078479	-0.25184588	-0.26131534	-0.18555965	-0.22343749	-0.18555965	-0.27078479	-0.10980396	-0.17609019	-0.16662073	-0.25184588	-0.21396803	-0.16662073	-0.18555965	-0.20449858	-0.15715127	-0.24237642	-0.31813211	-0.25184588	-0.26131534	-0.24237642	-0.32760156	-0.30866264	-0.28972372	-0.42229617	-0.33707102	-0.38441832	-0.33707102	-0.44123509	-0.33707102	-0.37494886	-0.39388778	-0.36547941	-0.30866264	-0.38441832	-0.31813211	-0.18555965	-0.090865048	-0.024578822	-0.26131534	-0.46964347	-0.59274646	-0.77266621	-0.72531891	-0.64009376	-0.45070455	-0.45070455
2	1.9087855	0.36896482	0.34081075	0.32204137	0.35019544	0.35019544	0.37834952	0.33142605	0.37834952	0.27511791	0.35019544	0.29388728	0.38773421	0.31265667	0.35019544	0.31265667	0.30327198	0.24696383	0.23757914	0.20004037	0.20942506	0.26573321	0.23757914	0.25634853	0.18127099	0.18127099	0.22819444	0.19065568	0.18127099	0.17188629	0.17188629	0.13434752	0.1625016	0.11557815	0.059269992	0.059269992	0.35019544	0.31265667	0.41588829	0.031115917	-0.12842385	-0.16596262	-0.20350139	-0.2973483	-0.184732	-0.015807543	0.012346532	-0.090885078	-0.043961619	-0.025192235	0.021731224	-0.025192235	0.012346532	0.0029618401	0.021731224	0.69742904	0.47219643	-3.4036813	-6.1627807	-5.9657022	-4.2483036	-2.5684437	-1.554897	-0.74781351	-0.184732	-0.053346311	0.087424067	0.087424067	0.087424067	0.12496284	0.18127099	0.0498853	0.13434752	0.12496284	0.14373222	0.2845026	0.38773421	0.41588829	0.48158113	0.67865966	0.8569688	1.0446626	1.2135871	1.3637422	1.4669738	1.4575891	1.3731269	0.96958515	0.65050558	0.2845026	0.20004037	0.031115917	-0.053346311	0.0029618401	0.059269992	-0.072115694	-0.062731003	-0.081500386	-0.10026977	-0.13780854	-0.043961619	-0.034576927	0.12496284	0.068654684	0.068654684	0.021731224	0.11557815	0.031115917	0.0498853	-0.072115694	-0.034576927	-0.10026977	-0.006422851	-0.034576927	0.0498853	-0.12842385	0.021731224	-0.14719323	-0.034576927	-0.034576927	0.040500608	-0.043961619	-0.090885078	-0.062731003	-0.025192235	-0.10026977	-0.062731003	-0.081500386	0.021731224	0.15311691	0.14373222	0.33142605	0.0029618401	-0.2973483	-0.27857891	-0.35365645
1	0.045690916	-0.0094218517	-0.027792774	-0.07372008	-0.027792774	-0.082905541	-0.082905541	-0.092091003	-0.11964739	-0.10127646	-0.12883285	-0.11964739	-0.1380183	-0.12424011	-0.15638923	-0.12883285	-0.13342558	-0.10127646	-0.11964739	-0.1380183	-0.211502	-0.12424011	-0.17476016	-0.15638923	-0.16098196	-0.17476016	-0.18853835	-0.17935288	-0.18394562	-0.17016742	-0.19772381	-0.16557469	-0.15638923	-0.092091003	-0.0094218517	0.013541802	0.0089490712	-0.055349158	-0.20690927	-0.23446565	-0.28039296	-0.32632026	-0.26202203	-0.28957842	-0.29417115	-0.29876388	-0.28039296	-0.2712075	-0.28957842	-0.26202203	-0.24365112	-0.25742931	0.1191746	1.749594	-0.092091003	-2.4940891	-4.4551851	-4.7674907	-2.8569148	-1.5342085	-0.6615896	-0.29876388	-0.11964739	-0.064534619	-0.027792774	0.018134532	0.036505455	0.064061838	0.10080369	0.15591645	0.18347284	0.17428737	0.28910564	0.34421841	0.41770209	0.53711309	0.69785866	0.90453154	1.0698698	1.4235101	1.7450013	2.0986415	2.4890236	2.8472566	3.1182277	3.2560096	3.0355586	2.5533218	1.8322631	1.1571318	0.64733863	0.30288383	0.10080369	-0.018607313	-0.041570966	-0.082905541	-0.096683733	-0.059941888	-0.064534619	-0.059941888	-0.041570966	-0.014014582	-0.0094218517	-0.018607313	-0.027792774	-0.027792774	-0.064534619	-0.055349158	-0.11505465	-0.10127646	-0.15638923	-0.1517965	-0.19313107	-0.20231654	-0.21609473	-0.23446565	-0.22068746	-0.28039296	-0.26202203	-0.28039296	-0.27580023	-0.28039296	-0.29876388	-0.28957842	-0.29876388	-0.29876388	-0.30794934	-0.29876388	-0.32632026	-0.29876388	-0.32632026	-0.33091299	-0.32632026	-0.33550573	-0.34469119	-0.32632026
1	0.96857196	-0.12448271	-0.14073092	-0.12448271	-0.15156307	-0.16239521	-0.18947557	-0.16781128	-0.16781128	-0.18947557	-0.17322735	-0.25988449	-0.17864343	-0.19489164	-0.19489164	-0.25446842	-0.19489164	-0.16781128	-0.20030771	-0.1840595	-0.22738807	-0.221972	-0.221972	-0.18947557	-0.21655593	-0.23280414	-0.18947557	-0.221972	-0.25446842	-0.24905235	-0.24905235	-0.23822021	-0.221972	-0.26530057	-0.12989878	-0.043241631	-0.010745201	-0.010745201	0.097576231	0.065079803	-0.10281842	-0.26530057	-0.31946129	-0.29238093	-0.36278986	-0.39528629	-0.36820593	-0.3357095	-0.40070236	-0.33029343	-0.30862914	-0.32487736	-0.26530057	-0.25446842	0.51461375	2.2531728	2.1394352	-1.435172	-5.7084526	-5.5784669	-3.6070168	-1.9388667	-0.82315595	-0.44403094	-0.27613271	-0.13531485	-0.091986276	-0.075738061	-0.043241631	-0.010745201	0.032583373	0.075911946	0.15173695	0.14090481	0.21131374	0.31963517	0.36837982	0.48211732	0.53627804	0.73125661	0.9262352	1.1266299	1.3757692	1.6574049	1.9390406	2.123187	2.3181656	2.3073335	2.1177709	1.7819745	1.3107762	0.86124234	0.52544589	0.30880303	0.11924052	0.054247659	0.032583373	0.048831587	0.021751229	0.005503014	0.054247659	0.054247659	0.14090481	0.11924052	0.11924052	0.15173695	0.11924052	0.10840838	0.10840838	0.10840838	0.13548873	8.694242e-05	0.054247659	0.065079803	0.065079803	0.027167301	0.054247659	0.016335158	-0.0053291293	-0.0053291293	0.021751229	-0.032409487	-0.010745201	-0.032409487	8.694242e-05	-0.010745201	-0.010745201	-0.032409487	-0.021577345	8.694242e-05	-0.016161273	-0.032409487	0.005503014	-0.054073774	0.027167301	-0.032409487
1	0.073038958	0.032245125	0.040403891	0.048562658	0.032245125	0.052642041	0.040403891	0.015927591	0.015927591	0.0036894412	-0.00038994121	-0.0085487083	-0.016707475	-0.012628092	-0.0085487083	-0.049342541	-0.020786858	-0.045263158	-0.053421925	-0.057501308	-0.061580691	-0.086056991	-0.090136375	-0.057501308	-0.073818841	-0.090136375	-0.073818841	-0.10645391	-0.081977608	-0.077898225	-0.098295142	-0.098295142	-0.065660075	-0.016707475	0.048562658	0.056721425	0.081197725	0.15870601	-0.098295142	-0.15132713	-0.18804157	-0.21251787	-0.18804157	-0.26554985	-0.26554985	-0.24107356	-0.26962924	-0.26554985	-0.24923233	-0.27370863	-0.24923233	-0.18804157	0.073038958	1.5905695	1.1010435	-1.5383175	-4.5366641	-5.2709532	-3.4801039	-1.8687475	-0.80810784	-0.37161382	-0.22883541	-0.11869206	-0.073818841	-0.012628092	0.0036894412	0.048562658	0.040403891	0.12199156	0.18726169	0.22805552	0.28516689	0.34635764	0.41978654	0.53808866	0.65231139	0.81548672	1.0357734	1.2968539	1.6068871	1.9413965	2.2881441	2.6104154	2.8755753	2.9653218	2.8470196	2.4513194	1.8965233	1.2560602	0.68902584	0.34635764	0.10975341	-0.033025008	-0.11461268	-0.13908898	-0.16356528	-0.15948589	-0.14724774	-0.1309302	-0.11461268	-0.086056991	-0.10645391	-0.10645391	-0.090136375	-0.073818841	-0.098295142	-0.14724774	-0.13908898	-0.16356528	-0.21659726	-0.18396219	-0.23291479	-0.24107356	-0.277788	-0.26962924	-0.29002616	-0.28186739	-0.30634369	-0.33082	-0.31450246	-0.33897876	-0.35529629	-0.35529629	-0.36345506	-0.35529629	-0.37161382	-0.37161382	-0.42056642	-0.36345506	-0.38793135	-0.38793135	-0.40424889	-0.38793135	-0.37569321	-0.40424889
1	-0.073805675	-0.10614582	-0.069763157	-0.089975746	-0.098060781	-0.11827337	-0.073805675	-0.094018264	-0.053593086	-0.11018833	-0.10614582	-0.12635841	-0.11018833	-0.14252847	-0.12231589	-0.13444344	-0.11827337	-0.23146387	-0.11018833	-0.14252847	-0.13444344	-0.14252847	-0.13444344	-0.17082611	-0.15061352	-0.15465603	-0.15869855	-0.14252847	-0.17486862	-0.11018833	-0.065720639	-0.041465532	0.043427342	-0.029337978	-0.1021033	-0.20316625	-0.24359142	-0.2395489	-0.25571898	-0.27188904	-0.27188904	-0.28805912	-0.28805912	-0.35273941	-0.25976149	-0.24359142	-0.24359142	-0.23146387	-0.2840166	0.67406012	1.0055465	-1.3795389	-3.3078199	-4.7914239	-3.8616449	-2.1759149	-1.0076273	-0.4214622	-0.23550639	-0.1021033	-0.065720639	-0.025295461	0.011087199	0.043427342	0.095980068	0.13236273	0.18087295	0.20108554	0.26576582	0.34257366	0.40725394	0.50427437	0.64171998	0.79937817	1.001504	1.2925653	1.5957542	1.9231981	2.3153223	2.679149	3.0187204	3.257229	3.2410589	2.9621252	2.3880877	1.7291573	1.1106521	0.60533732	0.26980834	0.083852519	-0.0010403543	-0.077848192	-0.065720639	-0.098060781	-0.11018833	-0.094018264	-0.041465532	-0.057635603	-0.073805675	-0.057635603	-0.053593086	-0.069763157	-0.053593086	-0.085933228	-0.11018833	-0.08189071	-0.13444344	-0.17486862	-0.17891114	-0.17486862	-0.20720876	-0.22742135	-0.24359142	-0.26380401	-0.23550639	-0.27997408	-0.28805912	-0.28805912	-0.2840166	-0.31635674	-0.32039926	-0.31231422	-0.33656933	-0.32039926	-0.33252682	-0.34061185	-0.30018668	-0.34465436	-0.32444178	-0.34465436	-0.34465436	-0.35678192	-0.34465436	-0.35678192	-0.35273941	-0.36486696
1	0.27342646	0.29647564	0.3041587	0.21196201	0.25806035	0.22732812	0.22732812	0.19659588	0.18122977	0.21964506	0.21964506	0.12744837	0.20427895	0.13513143	0.13513143	0.13513143	0.11976532	0.089033081	0.05830085	0.14281448	0.13513143	0.089033081	0.11976532	0.042934735	0.11208225	0.11976532	0.089033081	0.081350023	0.13513143	0.18891283	0.31184175	0.28879258	0.36562315	0.57306571	0.22732812	0.1043992	0.042934735	-0.033895842	-0.033895842	-0.15682476	-0.15682476	-0.095360307	-0.15682476	-0.15682476	-0.11072642	-0.14145865	-0.11840947	0.012202504	0.42708762	2.0712619	5.4210751	2.7550541	-3.1609003	-5.8653366	-4.8742222	-2.853578	-1.1479393	-0.51024542	-0.34121815	-0.17987394	-0.10304336	-0.026212784	0.012202504	0.065983907	-0.018529726	0.089033081	0.13513143	0.16586366	0.18122977	0.19659588	0.21964506	0.3579401	0.38867233	0.49623514	0.58843183	0.74209299	0.86502191	1.003317	1.141612	1.2338086	1.2491747	1.1569781	0.98795084	0.77282521	0.51160125	0.24269423	0.042934735	0.019885562	-0.056945015	-0.11072642	-0.14145865	-0.11072642	-0.087677245	-0.11072642	-0.087677245	-0.064628072	-0.056945015	-0.033895842	-0.049261957	-0.079994188	-0.0415789	-0.010846669	-0.049261957	-0.12609253	-0.12609253	-0.15682476	-0.26438757	-0.15682476	-0.20292311	-0.187557	-0.187557	-0.20292311	-0.187557	-0.21828923	-0.24902145	-0.26438757	-0.24902145	-0.26438757	-0.29511981	-0.32585203	-0.31048592	-0.31048592	-0.33353509	-0.31048592	-0.40268261	-0.31048592	-0.32585203	-0.32585203	-0.40268261	-0.34121815	-0.27975369	-0.32585203	-0.31048592	-0.34121815	-0.35658426	-0.35658426
