Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,28,0.0,0.0066666666666666706,1.0
RDP,0.0,100,1.0,0.9849999999999999,147.75
BU_1,0.0,100,1.0,1.006666666666665,151.0
BU_2,0.0,100,1.0,1.0,150.0
VW,0.0,100,1.0,1.0,150.0
OS,0.01,77,0.6265021110750244,0.043400000000000015,6.51
RDP,0.01,100,1.0,0.23919999999999997,35.88
BU_1,0.01,95,0.9214947401475899,0.09386666666666663,14.08
BU_2,0.01,95,0.9214947401475899,0.1769333333333334,26.54
VW,0.01,100,1.0,0.4009333333333332,60.14
OS,0.02,95,0.9214577442664154,0.05359999999999999,8.04
RDP,0.02,96,0.9377238050755099,0.11746666666666668,17.62
BU_1,0.02,94,0.905511811023622,0.07493333333333338,11.24
BU_2,0.02,94,0.905511811023622,0.1390666666666667,20.86
VW,0.02,100,1.0,0.2686000000000001,40.29
OS,0.03,91,0.8577749683944375,0.059466666666666675,8.92
RDP,0.03,96,0.9380900789351494,0.10366666666666668,15.55
BU_1,0.03,95,0.9214947401475899,0.06373333333333332,9.56
BU_2,0.03,95,0.9214947401475899,0.11666666666666674,17.5
VW,0.03,98,0.968861902537755,0.22020000000000003,33.03
OS,0.04,92,0.8739561997794234,0.06360000000000002,9.54
RDP,0.04,97,0.9534089144277061,0.08886666666666665,13.33
BU_1,0.04,93,0.8906933166770769,0.059066666666666656,8.86
BU_2,0.04,93,0.8906933166770769,0.10733333333333338,16.1
VW,0.04,96,0.9377528789293496,0.18533333333333343,27.8
OS,0.05,92,0.8739561997794234,0.0666666666666667,10.0
RDP,0.05,97,0.9534089144277061,0.07860000000000004,11.79
BU_1,0.05,93,0.890642087173879,0.05633333333333332,8.45
BU_2,0.05,93,0.890642087173879,0.10186666666666674,15.28
VW,0.05,96,0.9377528789293496,0.16320000000000004,24.48
OS,0.06,92,0.8739561997794234,0.07013333333333338,10.52
RDP,0.06,97,0.9534089144277061,0.07373333333333337,11.06
BU_1,0.06,94,0.9060297572435395,0.05506666666666666,8.26
BU_2,0.06,94,0.9060297572435395,0.09933333333333338,14.9
VW,0.06,95,0.9219603558607773,0.14640000000000003,21.96
OS,0.07,93,0.8893805309734514,0.0718666666666667,10.78
RDP,0.07,97,0.9534089144277061,0.07066666666666671,10.6
BU_1,0.07,93,0.8903165151989971,0.05446666666666666,8.17
BU_2,0.07,93,0.8903165151989971,0.09813333333333338,14.72
VW,0.07,97,0.9531542785758901,0.1280666666666667,19.21
OS,0.08,94,0.9054671498345676,0.07373333333333339,11.06
RDP,0.08,95,0.9220819697678042,0.06760000000000001,10.14
BU_1,0.08,92,0.8749609252891528,0.05353333333333333,8.03
BU_2,0.08,92,0.8749609252891528,0.09626666666666668,14.44
VW,0.08,95,0.9214577442664154,0.11619999999999996,17.43
OS,0.09,94,0.9054671498345676,0.07506666666666671,11.26
RDP,0.09,96,0.9378495960223742,0.06506666666666666,9.76
BU_1,0.09,92,0.8749609252891528,0.05293333333333333,7.94
BU_2,0.09,92,0.8749609252891528,0.09506666666666667,14.26
VW,0.09,94,0.9057492931196984,0.11019999999999994,16.53
OS,0.1,94,0.9054671498345676,0.0766666666666667,11.5
RDP,0.1,97,0.9534089144277061,0.06340000000000001,9.51
BU_1,0.1,93,0.8903165151989971,0.05253333333333333,7.88
BU_2,0.1,93,0.8903165151989971,0.09426666666666667,14.14
VW,0.1,95,0.9216546537135695,0.10613333333333333,15.92
OS,0.11,94,0.9054671498345676,0.07900000000000003,11.85
RDP,0.11,95,0.9223119950279677,0.06173333333333335,9.26
BU_1,0.11,89,0.8262517769704628,0.051933333333333324,7.79
BU_2,0.11,89,0.8262517769704628,0.09306666666666667,13.96
VW,0.11,94,0.9057048561999057,0.10286666666666663,15.43
OS,0.12,95,0.9214577442664154,0.08240000000000001,12.36
RDP,0.12,93,0.8912367930391547,0.06006666666666667,9.01
BU_1,0.12,86,0.7770700636942676,0.05153333333333333,7.73
BU_2,0.12,86,0.7770700636942676,0.09226666666666666,13.84
VW,0.12,94,0.9057048561999057,0.09680000000000001,14.52
OS,0.13,96,0.9373825923606762,0.08659999999999998,12.99
RDP,0.13,94,0.9070055796652201,0.05860000000000001,8.79
BU_1,0.13,84,0.743795036028823,0.05106666666666666,7.66
BU_2,0.13,84,0.743795036028823,0.09133333333333335,13.7
VW,0.13,93,0.8902649318074933,0.09273333333333338,13.91
OS,0.14,95,0.9214947401475899,0.08946666666666665,13.42
RDP,0.14,94,0.9070055796652201,0.0572,8.58
BU_1,0.14,83,0.7280435130379139,0.050333333333333334,7.55
BU_2,0.14,83,0.7280435130379139,0.08986666666666666,13.48
VW,0.14,93,0.88998899889989,0.08866666666666669,13.3
OS,0.15,95,0.9214947401475899,0.09473333333333331,14.21
RDP,0.15,94,0.9070055796652201,0.05573333333333335,8.36
BU_1,0.15,82,0.7113071371291098,0.04986666666666666,7.48
BU_2,0.15,82,0.7113071371291098,0.08893333333333332,13.34
VW,0.15,92,0.8738965952080706,0.08613333333333334,12.92
OS,0.16,95,0.9214947401475899,0.09933333333333332,14.9
RDP,0.16,93,0.8912367930391547,0.054266666666666685,8.14
BU_1,0.16,82,0.7113071371291098,0.04953333333333334,7.43
BU_2,0.16,82,0.7113071371291098,0.08826666666666665,13.24
VW,0.16,92,0.8738965952080706,0.08346666666666668,12.52
OS,0.17,95,0.9214947401475899,0.10353333333333334,15.53
RDP,0.17,93,0.8912367930391547,0.052266666666666683,7.84
BU_1,0.17,79,0.6605786326167771,0.048866666666666676,7.33
BU_2,0.17,79,0.6605786326167771,0.08693333333333332,13.04
VW,0.17,90,0.8418222081619741,0.08193333333333333,12.29
OS,0.18,95,0.9214947401475899,0.10806666666666671,16.21
RDP,0.18,91,0.8600311041990669,0.05033333333333335,7.55
BU_1,0.18,78,0.6433203631647211,0.048333333333333346,7.25
BU_2,0.18,78,0.6433203631647211,0.08586666666666665,12.88
VW,0.18,90,0.8418222081619741,0.07973333333333335,11.96
OS,0.19,95,0.9214947401475899,0.11286666666666673,16.93
RDP,0.19,88,0.810934299669135,0.047533333333333344,7.13
BU_1,0.19,78,0.6433203631647211,0.04780000000000003,7.17
BU_2,0.19,78,0.6433203631647211,0.08479999999999997,12.72
VW,0.19,90,0.8418222081619741,0.07846666666666664,11.77
OS,0.2,95,0.9214947401475899,0.11686666666666663,17.53
RDP,0.2,84,0.7481901164620711,0.04413333333333335,6.62
BU_1,0.2,78,0.6444157103604331,0.04726666666666669,7.09
BU_2,0.2,78,0.6444157103604331,0.08373333333333331,12.56
VW,0.2,90,0.8418222081619741,0.07693333333333331,11.54
OS,0.21,95,0.9214947401475899,0.1186,17.79
RDP,0.21,77,0.6351522842639594,0.04133333333333336,6.2
BU_1,0.21,75,0.5917034133594643,0.04613333333333334,6.92
BU_2,0.21,75,0.5917034133594643,0.08146666666666665,12.22
VW,0.21,90,0.8418222081619741,0.07486666666666668,11.23
OS,0.22,95,0.9214947401475899,0.12106666666666666,18.16
RDP,0.22,75,0.6044303797468353,0.03900000000000002,5.85
BU_1,0.22,74,0.5742590469952513,0.04506666666666669,6.76
BU_2,0.22,74,0.5742590469952513,0.07933333333333331,11.9
VW,0.22,91,0.857278782112274,0.07279999999999999,10.92
OS,0.23,95,0.9214947401475899,0.12313333333333336,18.47
RDP,0.23,72,0.5563302170812867,0.036666666666666674,5.5
BU_1,0.23,72,0.5400788436268068,0.044000000000000046,6.6
BU_2,0.23,72,0.5400788436268068,0.07719999999999999,11.58
VW,0.23,92,0.8735177865612649,0.07093333333333333,10.64
OS,0.24,95,0.9214947401475899,0.12466666666666672,18.7
RDP,0.24,71,0.5388774049928446,0.03413333333333334,5.12
BU_1,0.24,70,0.5046235138705416,0.04360000000000004,6.54
BU_2,0.24,70,0.5046235138705416,0.0764,11.46
VW,0.24,92,0.8735177865612649,0.06966666666666665,10.45
OS,0.25,95,0.9214947401475899,0.12646666666666673,18.97
RDP,0.25,65,0.4424087940098773,0.03233333333333334,4.85
BU_1,0.25,69,0.4897119341563786,0.04293333333333337,6.44
BU_2,0.25,69,0.4897119341563786,0.07506666666666667,11.26
VW,0.25,92,0.8735177865612649,0.06873333333333333,10.31
OS,0.26,95,0.9214947401475899,0.12853333333333336,19.28
RDP,0.26,64,0.4276629570747218,0.030266666666666674,4.54
BU_1,0.26,69,0.4897119341563786,0.042466666666666694,6.37
BU_2,0.26,69,0.4897119341563786,0.07413333333333333,11.12
VW,0.26,92,0.8735177865612649,0.06766666666666668,10.15
OS,0.27,95,0.9214947401475899,0.13080000000000008,19.62
RDP,0.27,61,0.3812470252260829,0.028400000000000016,4.26
BU_1,0.27,66,0.4427143091296508,0.0416666666666667,6.25
BU_2,0.27,66,0.4427143091296508,0.07253333333333331,10.88
VW,0.27,91,0.857278782112274,0.06673333333333333,10.01
OS,0.28,95,0.9214947401475899,0.1337333333333334,20.06
RDP,0.28,61,0.3812470252260829,0.027200000000000012,4.08
BU_1,0.28,66,0.4444444444444444,0.04106666666666669,6.16
BU_2,0.28,66,0.4444444444444444,0.07133333333333329,10.7
VW,0.28,92,0.8735177865612649,0.06573333333333334,9.86
OS,0.29,96,0.9373825923606762,0.1370000000000001,20.55
RDP,0.29,62,0.39403603890926486,0.02620000000000001,3.93
BU_1,0.29,65,0.42660550458715607,0.0408666666666667,6.13
BU_2,0.29,65,0.42660550458715607,0.07093333333333329,10.64
VW,0.29,92,0.8735177865612649,0.06546666666666666,9.82
OS,0.3,96,0.9373825923606762,0.13986666666666672,20.98
RDP,0.3,62,0.39557817719102917,0.025666666666666678,3.85
BU_1,0.3,65,0.4263235535158171,0.04066666666666669,6.1
BU_2,0.3,65,0.4263235535158171,0.0705333333333333,10.58
VW,0.3,92,0.8735177865612649,0.06506666666666666,9.76
OS,0.31,96,0.9373825923606762,0.14246666666666674,21.37
RDP,0.31,61,0.37808961888056136,0.024666666666666674,3.7
BU_1,0.31,65,0.4278240967794671,0.04053333333333335,6.08
BU_2,0.31,65,0.4278240967794671,0.07026666666666663,10.54
VW,0.31,92,0.8735177865612649,0.06446666666666666,9.67
OS,0.32,96,0.9373825923606762,0.14580000000000004,21.87
RDP,0.32,60,0.35556629611728685,0.023799999999999998,3.57
BU_1,0.32,65,0.4278240967794671,0.040400000000000026,6.06
BU_2,0.32,65,0.4278240967794671,0.06999999999999997,10.5
VW,0.32,92,0.8735177865612649,0.06413333333333333,9.62
OS,0.33,96,0.9373825923606762,0.14826666666666674,22.24
RDP,0.33,59,0.3343075174541321,0.023266666666666668,3.49
BU_1,0.33,65,0.4278240967794671,0.04033333333333336,6.05
BU_2,0.33,65,0.4278240967794671,0.06986666666666663,10.48
VW,0.33,92,0.8735177865612649,0.06386666666666667,9.58
OS,0.34,96,0.9373825923606762,0.15113333333333334,22.67
RDP,0.34,56,0.29229756418696506,0.02186666666666667,3.28
BU_1,0.34,64,0.4099327979019832,0.04006666666666669,6.01
BU_2,0.34,64,0.4099327979019832,0.06933333333333329,10.4
VW,0.34,92,0.8735177865612649,0.06346666666666667,9.52
OS,0.35000000000000003,96,0.9373825923606762,0.15453333333333336,23.18
RDP,0.35000000000000003,56,0.272005294506949,0.021000000000000008,3.15
BU_1,0.35000000000000003,65,0.42660550458715607,0.03986666666666669,5.98
BU_2,0.35000000000000003,65,0.42660550458715607,0.06893333333333329,10.34
VW,0.35000000000000003,92,0.8735177865612649,0.06300000000000001,9.45
OS,0.36,96,0.9373825923606762,0.15733333333333335,23.6
RDP,0.36,56,0.2723664627087812,0.02013333333333335,3.02
BU_1,0.36,66,0.4432618306860979,0.039600000000000024,5.94
BU_2,0.36,66,0.4432618306860979,0.06839999999999996,10.26
VW,0.36,92,0.8735177865612649,0.06240000000000001,9.36
OS,0.37,96,0.9373825923606762,0.1618,24.27
RDP,0.37,57,0.3017456359102245,0.019400000000000018,2.91
BU_1,0.37,66,0.4432618306860979,0.039600000000000024,5.94
BU_2,0.37,66,0.4432618306860979,0.06839999999999996,10.26
VW,0.37,93,0.8896595208070618,0.06153333333333334,9.23
OS,0.38,96,0.9373825923606762,0.16446666666666668,24.67
RDP,0.38,57,0.29612870789341383,0.018866666666666684,2.83
BU_1,0.38,65,0.4283847787032501,0.03946666666666669,5.92
BU_2,0.38,65,0.4283847787032501,0.0681333333333333,10.22
VW,0.38,93,0.8896595208070618,0.061133333333333345,9.17
OS,0.39,97,0.9531762135164663,0.1687333333333333,25.31
RDP,0.39,59,0.3091828138163436,0.018200000000000015,2.73
BU_1,0.39,65,0.4283847787032501,0.03946666666666669,5.92
BU_2,0.39,65,0.4283847787032501,0.0681333333333333,10.22
VW,0.39,94,0.9054671498345676,0.060733333333333334,9.11
OS,0.4,97,0.9531762135164663,0.17313333333333333,25.97
RDP,0.4,57,0.2923336141533277,0.01793333333333335,2.69
BU_1,0.4,65,0.4283847787032501,0.03926666666666669,5.89
BU_2,0.4,65,0.4283847787032501,0.0677333333333333,10.16
VW,0.4,93,0.8893805309734514,0.0602,9.03
OS,0.41000000000000003,97,0.9531762135164663,0.17833333333333332,26.75
RDP,0.41000000000000003,57,0.29042067916877845,0.017466666666666686,2.62
BU_1,0.41000000000000003,64,0.4117647058823529,0.03913333333333335,5.87
BU_2,0.41000000000000003,64,0.4117647058823529,0.06746666666666663,10.12
VW,0.41000000000000003,92,0.8738965952080706,0.05953333333333332,8.93
OS,0.42,97,0.9531762135164663,0.18320000000000003,27.48
RDP,0.42,57,0.2884973742165001,0.01720000000000002,2.58
BU_1,0.42,64,0.4117647058823529,0.03906666666666669,5.86
BU_2,0.42,64,0.4117647058823529,0.0673333333333333,10.1
VW,0.42,92,0.8738965952080706,0.05933333333333332,8.9
OS,0.43,97,0.9531762135164663,0.18873333333333328,28.31
RDP,0.43,56,0.2699490662139219,0.016533333333333355,2.48
BU_1,0.43,65,0.4283847787032501,0.038933333333333354,5.84
BU_2,0.43,65,0.4283847787032501,0.06706666666666664,10.06
VW,0.43,92,0.8738965952080706,0.059133333333333316,8.87
OS,0.44,97,0.9531762135164663,0.1951999999999999,29.28
RDP,0.44,56,0.2699490662139219,0.01646666666666669,2.47
BU_1,0.44,65,0.4283847787032501,0.038933333333333354,5.84
BU_2,0.44,65,0.4283847787032501,0.06706666666666664,10.06
VW,0.44,92,0.8738965952080706,0.058599999999999985,8.79
OS,0.45,97,0.9531762135164663,0.20239999999999994,30.36
RDP,0.45,56,0.2699490662139219,0.01646666666666669,2.47
BU_1,0.45,66,0.4444444444444444,0.03873333333333335,5.81
BU_2,0.45,66,0.4444444444444444,0.06666666666666665,10.0
VW,0.45,92,0.8738965952080706,0.05819999999999999,8.73
OS,0.46,97,0.9531762135164663,0.20799999999999993,31.2
RDP,0.46,56,0.26796050391556003,0.016266666666666686,2.44
BU_1,0.46,66,0.4444444444444444,0.03853333333333335,5.78
BU_2,0.46,66,0.4444444444444444,0.06626666666666665,9.94
VW,0.46,92,0.8738965952080706,0.058066666666666655,8.71
OS,0.47000000000000003,97,0.9531762135164663,0.21700000000000003,32.55
RDP,0.47000000000000003,56,0.26596107886650733,0.016066666666666687,2.41
BU_1,0.47000000000000003,66,0.4444444444444444,0.03846666666666668,5.77
BU_2,0.47000000000000003,66,0.4444444444444444,0.06613333333333332,9.92
VW,0.47000000000000003,92,0.8738965952080706,0.05779999999999999,8.67
OS,0.48,97,0.9531762135164663,0.22573333333333317,33.86
RDP,0.48,56,0.24889040628200754,0.015333333333333355,2.3
BU_1,0.48,66,0.4444444444444444,0.03846666666666668,5.77
BU_2,0.48,66,0.4444444444444444,0.06613333333333332,9.92
VW,0.48,92,0.8738965952080706,0.05753333333333334,8.63
OS,0.49,97,0.9531762135164663,0.23593333333333327,35.39
RDP,0.49,56,0.24889040628200754,0.014733333333333352,2.21
BU_1,0.49,65,0.4278240967794671,0.03833333333333335,5.75
